北京深思数盾科技股份有限公司,北京,Java开发,10:40发布,15k-25k,3-5年,150-500人,"七险一金,精英团队,发展广阔",海淀区
北京区块节点科技有限公司,北京,Java开发工程师,10:15发布,20k-40k,不限,50-150人,"期权激励,年底多薪,绩效奖金,弹性工时",朝阳区
北京趣发芽科技有限公司,北京,Java工程师,1天前发布,10k-16k,1-3年,15-50人,"晋升空间大,团队氛围好,明显团队",海淀区
北京盛安德科技发展有限公司,北京,Java开发工程师,2天前发布,15k-25k,3-5年,150-500人,"弹性工作,技术前沿,学习培训,独立发展",西城区
思特沃克软件技术（成都）有限公司,北京,JAVA,3天前发布,15k-30k,5-10年,2000人以上,"技术大牛,外资公司,扁平化管理,敏捷教父",东城区
银盈通支付有限公司,北京,Java开发工程师,1天前发布,12k-18k,3-5年,150-500人,"核心项目,技术大牛,全年14薪,交通便利",朝阳区
北京怡合春天科技有限公司,北京,java开发工程师,2天前发布,25k-35k,3-5年,50-150人,"薪资高,福利多",朝阳区
北京五八亚太企业管理服务有限公司,北京,java开发工程师,2天前发布,10k-20k,1年以下,150-500人,"六险一金,免费晚餐,定期团建,福利多多",朝阳区
北京明略软件系统有限公司,北京,java开发工程师,3天前发布,20k-35k,3-5年,150-500人,六险一金，各种团建,海淀区
北京基调网络股份有限公司,北京,java研发工程师,1天前发布,14k-20k,1-3年,150-500人,"上市公司,带薪年假,地铁周边,不打卡",朝阳区
上海画龙信息科技有限公司,北京,java开发工程师,1天前发布,15k-30k,3-5年,50-150人,"硅谷团队,晋升平台,弹性办公,期权激励",海淀区
北京好车多多科技有限公司,北京,Java工程师,1天前发布,15k-25k,3-5年,500-2000人,五险一金,朝阳区
北京竞业达数码科技股份有限公司,北京,Java,09:07发布,8k-16k,3-5年,500-2000人,核心骨干员工,海淀区
北京细刻网络科技有限公司,北京,java开发工程师,3天前发布,15k-25k,3-5年,500-2000人,"管理民主,系统开发,发展空间大",海淀区
光大科技有限公司,北京,java开发工程师,2天前发布,15k-25k,不限,150-500人,五险一金，带薪年假，年终大奖,石景山区
北京睿企信息科技有限公司,北京,Java开发工程师,1天前发布,15k-30k,1-3年,15-50人,"人工智能,技术大牛,丰富团建,免费两餐",朝阳区
中国环球租赁有限公司,北京,JAVA软件开发工程师,3天前发布,15k-30k,3-5年,500-2000人,"朝阳行业,氛围和谐,发展空间,BOSS牛",西城区
北京凌宇智控科技有限公司,北京,Java开发工程师,2018-11-14,10k-20k,3-5年,50-150人,股票期权、周末双休、津贴补助、六险一金,朝阳区
北京国双科技有限公司,北京,JAVA开发工程师,09:42发布,10k-15k,1-3年,500-2000人,"上市大数据,技术牛人多,年底奖金",海淀区
北京合思信息技术有限公司,北京,JAVA工程师-TMC,1天前发布,21k-30k,5-10年,150-500人,"前景好,成长快,老板好",海淀区
云像（上海）数字技术有限公司,北京,Java开发工程师,1天前发布,15k-25k,3-5年,150-500人,"美女多,福利好,环境佳,空间大",朝阳区
